isClosed,active_days,first_funding_days,founded_year,first_milestone_at,milestones,funding_total_usd,category_web,lng,relationships,lat,funding_rounds,country_USA,category_network_hosting,country_code_generalized,category_other,category_public_relations,country_other,category_games_video,category_analytics,category_education,category_travel,category_semiconductor,country_FRA,country_ESP,category_social,category_biotech,category_finance,category_health,category_music,target
0,4015.0,5655.0,2007,2010,2.0,800000.0,0,-122.4194155,3.0,37.7749295,1.0,1,0,0.6983338205203157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,3650.0,6309.0,2011,2013,1.0,3400000.0,0,-122.0838511,7.0,37.3860517,2.0,1,0,0.6983338205203157,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,5475.0,5655.0,2006,2008,3.0,3400000.0,0,-122.3255254,4.0,37.5629917,1.0,1,0,0.6983338205203157,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
1,4745.0,5655.0,2008,2009,2.0,1000000.0,1,-118.4109089,9.0,33.8847361,1.0,1,0,0.6983338205203157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,4745.0,5655.0,2008,2010,2.0,2000000.0,1,-81.655651,4.0,30.3321838,2.0,1,0,0.6983338205203157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,4745.0,5655.0,2008,2009,2.0,267835.75,0,-122.4194155,1.0,37.7749295,2.0,1,0,0.6983338205203157,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,3650.0,6284.0,2011,2010,1.0,1000000.0,0,-118.4911912,2.0,34.0194543,1.0,1,0,0.6983338205203157,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
1,3650.0,6274.0,2011,2012,2.0,267835.75,0,-84.3879824,5.0,33.7489954,2.0,1,0,0.6983338205203157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,4015.0,6284.0,2010,2011,2.0,2125000.0,0,-71.0588801,3.0,42.3600825,3.0,1,0,0.6983338205203157,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
1,4745.0,5655.0,2008,2008,2.0,3400000.0,0,-122.4194155,2.0,37.7749295,1.0,1,0,0.6983338205203157,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
1,5475.0,5655.0,2006,2007,1.0,3400000.0,0,-122.4194155,6.0,37.7749295,1.0,1,0,0.6983338205203157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,3650.0,6575.0,2011,2011,3.0,1100000.0,0,-6.2603097,2.0,53.3498053,2.0,0,0,0.00950014615609471,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,4015.0,5898.0,2010,2010,1.0,512000.0,0,2.3522219,3.0,48.856614,1.0,0,0,0.022215726395790704,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
1,5475.0,5836.0,2006,2011,1.0,1500000.0,0,-93.4687489,5.0,44.9211836,1.0,1,0,0.6983338205203157,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,5110.0,5655.0,2007,2011,1.0,267835.75,1,-122.4194155,7.0,37.7749295,1.0,1,0,0.6983338205203157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,4380.0,5655.0,2009,2010,2.0,1170000.0,0,-74.4056612,2.0,40.0583238,1.0,1,0,0.6983338205203157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
