funding_rounds,funding_total_usd,first_milestone_at,last_milestone_at,milestones,relationships,lat,lng,founded_year,category_advertising,category_analytics,category_ecommerce,category_education,category_enterprise,category_games_video,category_mobile,category_other,category_social,category_software,category_web,category_automotive,category_biotech,category_cleantech,category_consulting,category_design,category_fashion,category_finance,category_government,category_hardware,category_health,category_hospitality,category_legal,category_local,category_manufacturing,category_medical,category_messaging,category_music,category_nanotech,category_network_hosting,category_news,category_nonprofit,category_pets,category_photo_video,category_public_relations,category_real_estate,category_search,category_security,category_semiconductor,category_sports,category_transportation,category_travel,country_code_generalized,country_CAN,country_DEU,country_ESP,country_FRA,country_GBR,country_IRL,country_ISR,country_NLD,country_RUS,country_USA,country_other,isClosed,active_years,active_days,target,first_funding_days,last_funding_days
1.0,500000.0,2013,2013,1.0,6.0,40.7127753,-74.0059728,2011,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,USA,0,0,0,0,0,0,0,0,0,1,0,0,12.133344803854095,4015.0,0,6567.0,6567.0
2.0,5000000.0,2013,2013,2.0,6.0,41.3850639,2.1734035,2007,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ESP,0,0,1,0,0,0,0,0,0,0,0,1,14.0,5110.0,1,5764.0,6864.0
1.0,200000.0,2010,2012,2.0,2.0,28.5355161,77.3910265,2011,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,other,0,0,0,0,0,0,0,0,0,0,1,1,10.0,3650.0,1,6537.0,6537.0
1.0,296384.0,2009,2013,2.0,4.0,52.5200066,13.404954,2009,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DEU,0,1,0,0,0,0,0,0,0,0,0,1,12.0,4380.0,1,6039.0,6039.0
3.0,6865000.0,2011,2012,2.0,9.0,47.6062095,-122.3320708,2007,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,USA,0,0,0,0,0,0,0,0,0,1,0,1,14.0,5110.0,1,6115.0,6191.0
1.0,2750000.0,2010,2010,1.0,2.0,55.755826,37.6172999,2010,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,RUS,0,0,0,0,0,0,0,0,1,0,0,1,11.0,4015.0,1,6311.0,6311.0
2.0,6545000.0,2008,2012,2.0,6.0,37.7799273,-121.9780153,2008,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,USA,0,0,0,0,0,0,0,0,0,1,0,1,13.0,4745.0,1,5724.0,7092.0
1.0,100000.0,2011,2011,1.0,2.0,40.7127753,-74.0059728,2011,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,USA,0,0,0,0,0,0,0,0,0,1,0,1,10.0,3650.0,1,6079.0,6079.0
2.0,4100000.0,2013,2013,1.0,8.0,45.4215296,-75.6971931,2007,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CAN,1,0,0,0,0,0,0,0,0,0,0,1,14.0,5110.0,1,6495.0,6980.0
1.0,700000.0,2011,2011,1.0,2.0,37.7749295,-122.4194155,2011,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,USA,0,0,0,0,0,0,0,0,0,1,0,1,10.0,3650.0,1,6293.0,6293.0
1.0,250000.0,2011,2011,1.0,3.0,40.7127753,-74.0059728,2008,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,USA,0,0,0,0,0,0,0,0,0,1,0,1,13.0,4745.0,1,6232.0,6232.0
